Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Nose","Southwest Face > El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105924807/the-nose,4.0,-1,"Trad, Aid","5.9 C2",31,3000,37.73051,-119.63829
Flyboys,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113665378/flyboys,3.1,-1,Sport,5.9,18,1800,48.62285,-120.44865
"Regular Northwest Face of Half Dome","Northwest Face > Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome,3.9,-1,"Trad, Aid","5.9 C1",23,2200,37.74686,-119.53361
"Snake Dike","Southwest Face > Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105836362/snake-dike,3.6,-1,Trad,"5.7 R",8,2000,37.73972,-119.54005
Epinephrine,"Black Velvet Wall > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732422/epinephrine,3.9,-1,Trad,5.9,13,1600,36.03518,-115.46652
"Casual Route","The Diamond > Long's Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105748496/casual-route,3.8,-1,"Trad, Alpine",5.10a,7,,40.25617,-105.61384
"Salathe Wall","Southwest Face > El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106154042/salathe-wall,4.0,-1,"Trad, Aid","5.9 C2",35,3500,37.73051,-119.63829
"The Moonlight Buttress (Free)","Moonlight Buttress > Zion National Park > Utah",https://www.mountainproject.com/route/106138026/the-moonlight-buttress-free,3.9,-1,Trad,5.12+,10,1200,37.27785,-112.94955
Beckey-Chouinard,"South Howser Tower > Howser Towers > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105872592/beckey-chouinard,3.9,-1,"Trad, Alpine",5.10,15,2000,50.7273,-116.8086
"Matthes Crest Traverse - South to North","Matthes Crest > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106008982/matthes-crest-traverse-south-to-north,3.9,-1,"Trad, Alpine",5.7,1,2500,37.8186,-119.3992
Astroman,"Washington Column > Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105845493/astroman,4.0,-1,Trad,5.11c,10,1000,37.7478,-119.559
"The Moonlight Buttress (Clean Aid)","Moonlight Buttress > Zion National Park > Utah",https://www.mountainproject.com/route/105717718/the-moonlight-buttress-clean-aid,3.9,-1,"Trad, Aid","5.8 C1",10,1200,37.27785,-112.94955
"The Original Route","The Rainbow Wall > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732410/the-original-route,4.0,-1,Trad,5.12-,14,1000,36.11139,-115.49615
"Positive Vibrations","Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California",https://www.mountainproject.com/route/105860676/positive-vibrations,4.0,-1,"Trad, Alpine",5.11a,12,1200,38.12188,-119.41522
"Moby Grape","4. Moby Grape Area > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/105884815/moby-grape,3.8,-1,"Trad, Alpine","5.8 PG13",7,,44.15838,-71.6846
"The Naked Edge","Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748786/the-naked-edge,3.9,-1,Trad,5.11b,6,460,39.9312,-105.28518
"Corrugation Corner","Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105872293/corrugation-corner,3.9,-1,Trad,5.7,3,300,38.80006,-120.13522
"Stolen Chimney","Ancient Art > Fisher Towers > Moab Area > Utah",https://www.mountainproject.com/route/105717310/stolen-chimney,3.7,-1,"Trad, Aid","5.10 A0",4,,38.72161,-109.30434
"Sons of Yesterday","Western Royal Arches > Royal Arches > Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862915/sons-of-yesterday,3.9,-1,Trad,5.10-,6,600,37.7486,-119.57256
"Lower Exum Ridge","Grand Teton > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105839153/lower-exum-ridge,3.8,-1,"Trad, Alpine",5.7,6,800,43.74092,-110.80253
"The North Face","The Rostrum > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105863822/the-north-face,4.0,-1,Trad,5.11c,8,700,37.71869,-119.70789
"The Grand Wall","Grand Wall Area > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105806397/the-grand-wall,3.9,-1,"Trad, Aid","5.11a A0",9,1000,49.6822,-123.148
"Time Wave Zero","Timewave Buttress > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106087605/time-wave-zero,3.7,-1,Sport,5.12a,23,2300,25.94811,-100.47814
"The Yellow Spur","Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748657/the-yellow-spur,3.7,-1,Trad,5.9+,6,,39.93194,-105.28603
Rewritten,"Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105750106/rewritten,3.7,-1,Trad,5.7,6,,39.93228,-105.28671
"Outer Space","Snow Creek Wall > Snow Creek Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105793664/outer-space,3.8,-1,Trad,5.9,6,700,47.52963,-120.71869
"Supercrack of the Desert","Supercrack Buttress > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717364/supercrack-of-the-desert,3.8,-1,Trad,5.10,3,,38.03635,-109.54552
"Serenity Crack","Western Royal Arches > Royal Arches > Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862912/serenity-crack,3.8,-1,Trad,"5.10d PG13",3,350,37.7486,-119.57256
"The Bastille Crack","The Bastille - N Face > The Bastille > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748490/the-bastille-crack,3.5,-1,Trad,5.7,5,350,39.9307,-105.283
"North East Ridge","Bugaboo Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105889511/north-east-ridge,3.9,-1,"Trad, Alpine",5.8-,10,1500,50.74546,-116.78853
"Jah Man","Sister Superior Group > Castle Valley > Moab Area > Utah",https://www.mountainproject.com/route/105717373/jah-man,3.9,-1,Trad,5.10c,5,,38.6726,-109.3753
"Fine Jade","The Rectory > Castle Valley > Moab Area > Utah",https://www.mountainproject.com/route/105717322/fine-jade,3.9,-1,Trad,5.11a,5,,38.6571,-109.3678
Namaste,"Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/105717892/namaste,3.9,-1,Sport,5.11d,1,140,37.45133,-113.16338
"Northeast Face","Pingora > Cirque of the Towers > Wind River Range > Wyoming",https://www.mountainproject.com/route/105825209/northeast-face,3.8,-1,"Trad, Alpine",5.8+,12,1200,42.7789,-109.226
"The Vampire","Upper Bulge Routes > (f) West Face Bulge Routes > Tahquitz Rock > Tahquitz & Suicide Rocks > California",https://www.mountainproject.com/route/105805108/the-vampire,4.0,-1,Trad,5.11a,4,400,33.76015,-116.6846
"Levitation 29","Eagle Wall > 12-Oak Creek Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732443/levitation-29,3.8,-1,Trad,5.11b/c,9,700,36.10438,-115.49498
